"c_object_ID","NRI","JSG","NZA","ROZ","TZG","NWN","KRG","OPT"
"418","P.1607.1971.47","","","","","","887",""
"419","P.1607.1972.52","","","","","","888",""
"420","P.1607.1972.53","","","","","","889",""
"421","P.1607.1973.60","","","","","","890",""
"422","P.1607.1973.61","","","","","","891",""
"423","P.1607.1973.62","","","","","","892",""
"424","P.1607.1973.63","","","","","","893",""
"425","P.1607.1973.64","","","","","","894",""
"426","P.1607.1974.52","","","","","","895",""
"427","P.1607.1974.53","","","","","","896",""
"428","P.1607.1974.54","","","","","","897",""
"429","P.1607.1975.50","","","","","","898",""
"430","P.1607.1975.51","","","","","","899",""
"431","P.1607.1975.52","","","","","","900",""
"432","P.1607.1975.53","","","","","","901",""
"433","P.1607.1976.37","","","","","","902",""
"434","P.1607.1976.38","","","","","","903",""
"435","P.1607.1976.39","","","","","","904",""
"436","P.1607.1977.44","","","","","","905",""
"437","P.1607.1977.45","","","","","","906",""
"438","P.1607.1977.46","","","","","","907",""
"439","P.1607.1978.41","","","","","","908",""
"440","P.1607.1978.42","","","","","","909",""
"441","P.1607.1978.43","","","","","","910",""
"442","P.1607.1979.55","","","","","","911",""
"443","P.1607.1979.56","","","","","","912",""
"444","P.1607.1979.57","","","","","","913",""
"445","P.1607.1979.58","","","","","","914",""
"446","P.1607.1979.59","","","","","","915",""
"447","P.1607.1980.44","","","","","","916",""
"448","P.1607.1981.63","","","","","","917",""
"449","P.1607.1981.64","","","","","","918",""
"450","P.1607.1982.81","","","","","","919",""
"451","P.1607.1982.82","","","","","","920",""
"452","P.1607.1982.83","","","","","","921",""
"453","P.1607.1982.84","","","","","","922",""
"454","P.1607.1982.85","","","","","","923",""
"455","P.1607.1982.86","","","","","","924",""
"456","P.1607.1983.69","","","","","","925",""
"457","P.1607.1983.70","","","","","","926",""
"458","P.1607.1984.99","","","","","","927",""
"459","P.1607.1984.100","","","","","","928",""
"460","P.1607.1984.101","","","","","","929",""
"461","P.1607.1984.102","","","","","","930",""
"462","P.1607.1985.79","","","","","","931",""
"463","P.1607.1985.80","","","","","","932",""
"464","P.1607.1985.81","","","","","","933",""
"465","P.1607.1985.82","","","","","","934",""
"466","P.1607.1985.83","","","","","","935",""
"467","P.1607.1986.53","","","","","","936",""
"468","P.1607.1986.54","","","","","","937",""
"469","P.1607.1986.55","","","","","","938",""
"470","P.1607.1987.52","","","","","","939",""
"471","P.1607.1987.53","","","","","","940",""
"472","P.1607.1987.54","","","","","","941",""
"473","P.1607.1987.55","","","","","","942",""
"474","P.1607.1987.56","","","","","","943",""
"475","P.1607.1988.85","","","","","","944",""
"476","P.1607.1988.86","","","","","","945",""
"477","P.1607.1989.51","","","","","","946",""
"478","P.1607.1989.52","","","","","","947",""
"479","P.1607.1989.53","","","","","","948",""
"480","P.1607.1989.54","","","","","","949",""
"481","P.1607.1989.55","","","","","","950",""
"482","P.1607.1991.60","","","","","","951",""
"483","P.1607.1992.99","","","","","","952",""
"484","P.1607.1992.100","","","","","","953",""
"485","P.1607.1992.145","","","","","","954",""
"486","P.1607.1993.97","","","","","","955",""
"487","P.1607.1994.105","","","","","","956",""
"488","P.1607.1994.106","","","","","","957",""
"489","P.1607.1994.107","","","","","","958",""
"490","P.1607.1994.108","","","","","","959",""
"491","P.1607.1994.109","","","","","","960",""
"492","P.1607.1994.110","","","","","","961",""
"493","P.1607.1995.103","","","","","","962",""
"494","P.1607.1995.104","","","","","","963",""
"495","P.1607.1995.105","","","","","","964",""
"496","P.1607.1996.104","","","","","","965",""
"497","P.1607.1996.105","","","","","","966",""
"498","P.1607.1996.106","","","","","","967",""
"499","P.1607.1996.107","","","","","","968",""
"500","P.1607.1997.102","","","","","","969",""
"501","P.1607.1998.105","","","","","","970",""
"502","P.1607.1998.106","","","","","","971",""
"503","P.1607.1998.107","","","","","","972",""
"504","P.1607.1998.108","","","","","","973",""
"505","P.1607.1999.110","","","","","","974",""
"506","P.1607.2000.248","","","","","","975",""
"507","P.1607.2000.249","","","","","","976",""
"508","P.1607.2001.222","","","","","","977",""
"509","P.1607.2001.223","","","","","","978",""
"510","P.1607.2001.224","","","","","","979",""
"511","P.1607.2002.341","","","","","","980",""
"512","P.1607.2003.275","","","","","","981",""
"513","P.1607.2004.224","","","","","","982",""
"514","P.1607.2004.225","","","","","","983",""
"515","P.1607.2005.235","","","","","","984",""
"516","P.1607.2005.236","","","","","","985",""
"517","P.1607.2005.237","","","","","","986",""
"518","P.1607.2006.319","","","","","","987",""
"519","P.1607.2006.320","","","","","","988",""
"520","P.1607.2006.321","","","","","","989",""
"521","P.1607.2006.322","","","","","","833",""
"522","P.1607.2006.323","","","","","","990",""
"523","P.1607.2006.324","","","","","","991",""
"524","P.1607.2006.325","","","","","","992",""
"525","P.1607.2007.319","","","","","","842",""
"526","P.1607.2007.320","","","","","","993",""
"527","P.1607.2007.321","","","","","","994",""
"528","P.1607.2007.347","","","","","","995",""
"529","P.1607.2008.443","","","","","","996",""
"530","P.1607.2014.1989","","","","","","997",""
"531","P.1607.2014.1990","","","","","","998",""
"532","P.1607.2014.1991","","","","","","999",""
